City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
98,Severo-Kurilsk,RU,2020-05-08 22:19:55,50.68,156.12,34.3,89,75,14.85,broken clouds,0,0
99,Moron,AR,2020-05-08 22:22:48,-34.65,-58.62,63.0,100,12,8.43,few clouds,0,0
100,Bud,US,2020-05-08 22:20:07,39.45,-86.18,48.2,39,1,20.8,clear sky,0,0
101,Bluff,NZ,2020-05-08 22:19:36,-46.6,168.33,51.96,76,54,11.63,broken clouds,0,0
102,Pevek,RU,2020-05-08 22:19:37,69.7,170.31,34.2,88,0,6.33,clear sky,0,0
103,Benghazi,LY,2020-05-08 22:22:33,32.12,20.07,62.89,67,0,14.63,clear sky,0,0
104,Okhotsk,RU,2020-05-08 22:22:49,59.38,143.3,35.31,80,100,1.25,overcast clouds,0,0
105,Ternate,ID,2020-05-08 22:19:52,0.8,127.4,82.78,76,41,3.27,scattered clouds,0,0
106,Ribeira Grande,PT,2020-05-08 22:19:32,38.52,-28.7,62.02,85,100,17.27,overcast clouds,0,0
107,Marsh Harbour,BS,2020-05-08 22:20:03,26.54,-77.06,75.42,60,2,10.63,clear sky,0,0
108,Obo,CF,2020-05-08 22:22:50,5.4,26.49,71.78,93,100,2.17,moderate rain,0,0
109,Nyagan,RU,2020-05-08 22:22:50,62.14,65.39,62.38,58,100,9.42,overcast clouds,0,0
110,Roald,NO,2020-05-08 22:20:36,62.58,6.13,42.8,75,100,9.17,light intensity drizzle,0,0
111,Kandrian,PG,2020-05-08 22:19:55,-6.22,149.55,80.65,80,33,2.26,scattered clouds,0,0
112,Bredasdorp,ZA,2020-05-08 22:19:45,-34.53,20.04,62.6,93,40,9.17,scattered clouds,0,0
113,Ancud,CL,2020-05-08 22:20:12,-41.87,-73.82,59.0,100,75,4.7,broken clouds,0,0
114,Port Elizabeth,ZA,2020-05-08 22:19:38,-33.92,25.57,60.8,100,75,3.36,broken clouds,0,0
115,Kapaa,US,2020-05-08 22:19:31,22.08,-159.32,77.0,65,75,17.22,broken clouds,0,0
116,Soe,ID,2020-05-08 22:22:51,-9.86,124.28,63.68,100,15,4.27,few clouds,0,0
117,Chuy,UY,2020-05-08 22:19:50,-33.7,-53.46,53.38,72,0,4.07,clear sky,0,0
118,Rawson,AR,2020-05-08 22:20:20,-43.3,-65.1,72.48,30,98,15.01,overcast clouds,0,0
119,Rundu,NA,2020-05-08 22:22:51,-17.93,19.77,62.6,51,0,2.24,clear sky,0,0
120,Ouesso,CG,2020-05-08 22:22:51,1.61,16.05,72.66,95,100,2.19,light rain,0,0
121,Mogadishu,SO,2020-05-08 22:18:40,2.04,45.34,82.54,78,69,13.62,light rain,0,0
122,Sechura,PE,2020-05-08 22:20:22,-5.56,-80.82,80.53,59,21,15.37,few clouds,0,0
123,Yellowknife,CA,2020-05-08 22:19:35,62.46,-114.35,42.8,56,75,13.87,broken clouds,0,0
124,Goundam,ML,2020-05-08 22:22:52,16.41,-3.67,92.64,9,24,10.65,few clouds,0,0
125,Fort-Shevchenko,KZ,2020-05-08 22:22:52,44.51,50.26,59.94,91,51,14.12,broken clouds,0,0
126,Iqaluit,CA,2020-05-08 22:17:35,63.75,-68.51,33.8,50,75,12.75,broken clouds,0,0
127,Kavaratti,IN,2020-05-08 22:19:41,10.57,72.64,85.03,74,100,9.08,overcast clouds,0,0
128,Faanui,PF,2020-05-08 22:19:32,-16.48,-151.75,81.52,80,27,13.87,light rain,0,0
129,Ramanuj Ganj,IN,2020-05-08 22:22:52,23.8,83.7,76.21,25,0,3.74,clear sky,0,0
130,Shelburne,CA,2020-05-08 22:19:40,44.08,-80.2,35.6,43,40,16.11,scattered clouds,0,0
131,Nalut,LY,2020-05-08 22:22:53,30.33,10.85,82.6,21,100,18.99,overcast clouds,0,0
132,Sao Filipe,CV,2020-05-08 22:20:33,14.9,-24.5,74.21,70,0,13.27,clear sky,0,0
133,Adrar,MR,2020-05-08 22:19:39,20.5,-10.07,93.38,15,22,12.35,few clouds,0,0
134,Wanning,CN,2020-05-08 22:22:53,18.8,110.4,79.99,91,98,11.43,overcast clouds,0,0
135,Laguna Seca,HN,2020-05-08 22:22:53,14.7,-86.1,90.59,42,99,5.84,overcast clouds,0,0
136,Buchanan,LR,2020-05-08 22:22:54,5.88,-10.05,80.6,94,75,4.7,thunderstorm,0,0
137,Alice Springs,AU,2020-05-08 22:20:42,-23.7,133.88,57.2,33,0,6.93,clear sky,0,0
138,Fort Nelson,CA,2020-05-08 22:22:54,58.81,-122.7,60.8,41,75,17.22,shower rain,0,0
139,Talnakh,RU,2020-05-08 22:19:59,69.49,88.4,37.4,93,100,20.13,light rain,0,0
140,Usinsk,RU,2020-05-08 22:22:54,65.99,57.53,36.01,93,100,5.5,overcast clouds,0,0
141,Aurad,IN,2020-05-08 22:22:54,18.25,77.43,83.68,36,0,7.09,clear sky,0,0
142,Maltahohe,NA,2020-05-08 22:22:55,-24.83,16.98,65.53,27,0,9.69,clear sky,0,0
143,Tura,IN,2020-05-08 22:17:08,25.52,90.22,72.48,44,0,4.68,clear sky,0,0
144,Port Hawkesbury,CA,2020-05-08 22:22:55,45.62,-61.35,46.99,70,1,10.29,clear sky,0,0
145,Ozinki,RU,2020-05-08 22:22:55,51.18,49.68,58.05,85,6,12.28,clear sky,0,0
