City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
406,Dwarka,IN,clear sky,82.0,22.24,68.97,Hotel Narayan Avezika Comfort
409,Kismayo,SO,light rain,79.39,-0.36,42.55,Agan-Hotel
410,Nishihara,JP,mist,73.4,26.18,127.76,Minshuku Agaihama
413,Rincon,US,broken clouds,77.0,32.3,-81.24,Bent tree subdivision
416,Isangel,VU,scattered clouds,77.0,-19.55,169.27,Volcano Sea View Tree House
417,Padang,ID,overcast clouds,79.9,-0.95,100.35,Mercure Padang
419,Santa Isabel Do Rio Negro,BR,light rain,73.56,-0.41,-65.02,Hotel GSA
421,Notse,TG,broken clouds,78.87,6.95,1.17,Le Berceau
426,Novo Aripuana,BR,light rain,77.43,-5.12,-60.38,Hotel Ypê
428,Salem,IN,broken clouds,81.9,11.65,78.17,Hotel Laila palace
436,Kodala,IN,clear sky,81.48,19.63,84.95,Saura Chhachina
439,Longhua,CN,overcast clouds,78.91,23.61,114.19,Huadu Hotel
446,Benguela,AO,clear sky,77.58,-12.58,13.41,Hotel Praia Morena
448,Cabedelo,BR,clear sky,77.0,-6.98,-34.83,Lua Mansa Pousada
449,Honiara,SB,scattered clouds,78.8,-9.43,159.95,Heritage Park Hotel
450,Ibra,OM,clear sky,84.6,22.69,58.53,مزرعة راحة النفوس المنزفة
453,Kirakira,SB,clear sky,82.72,-10.45,161.92,SanBiz Lodge
455,Puerto Maldonado,PE,broken clouds,72.36,-12.6,-69.18,Wasai Hotel
464,Monywa,MM,clear sky,84.81,22.12,95.13,Monywa Hotel
465,Kloulklubed,PW,overcast clouds,82.4,7.04,134.26,Storyboard Beach Resort
467,Manavalakurichi,IN,mist,80.6,8.13,77.3,Udaya Boys Hostel
469,Mahendranagar,NP,clear sky,76.59,28.92,80.33,Agan Cottage
471,Hirara,JP,few clouds,77.0,24.8,125.28,Hotel Atoll Emerald Miyakojima
473,Fare,PF,overcast clouds,82.31,-16.7,-151.02,Maitai Lapita Village Huahine
474,Tchamba,TG,light rain,77.23,9.03,1.42,ROYAL HOTEL TCHAMBA
475,Labuhan,ID,scattered clouds,79.02,-6.88,112.21,bador sepret
476,Lorengau,PG,broken clouds,83.21,-2.02,147.27,Lorengau Harbourside Hotel
480,Katobu,ID,few clouds,75.27,-4.94,122.53,La Ode Gombe
483,Namatanai,PG,clear sky,83.41,-3.67,152.43,Namatanai Hotel
497,Touros,BR,broken clouds,78.8,-5.2,-35.46,INN NEW HORIZON
498,Sakakah,SA,few clouds,82.4,29.97,40.21,Fakhamat Al Orjoana Apartment
499,Sibolga,ID,overcast clouds,78.37,1.74,98.78,Hotel Syariah CN Darussalam
501,Luanda,AO,broken clouds,80.6,-8.84,13.23,EPIC SANA Luanda
502,Bambanglipuro,ID,overcast clouds,76.8,-7.95,110.28,Puri Brata
504,Biak,ID,few clouds,78.55,-0.91,122.88,Kost Ariz
505,Kerrville,US,clear sky,77.0,30.05,-99.14,Hampton Inn Kerrville
507,Dalbandin,PK,clear sky,80.83,28.89,64.41,Gidaan Guest House
512,Bafq,IR,clear sky,75.25,31.61,55.41,Alamdar Hotel
515,Ambilobe,MG,clear sky,71.33,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
518,Carutapera,BR,light rain,78.48,-1.2,-46.02,Lidera
521,Sola,VU,scattered clouds,84.2,-13.88,167.55,Leumerus Bungalows
522,Takoradi,GH,overcast clouds,81.77,4.88,-1.76,Raybow International Hotel
524,Basco,PH,few clouds,81.81,20.45,121.97,Nathaniel's Lodge
525,Huarmey,PE,clear sky,72.81,-10.07,-78.15,Hotel Miramar
528,Sorong,ID,clear sky,79.57,-0.88,131.25,The Waigo Hotel
531,Nhulunbuy,AU,scattered clouds,77.0,-12.23,136.77,East Arnhem Real Estate
534,Bati,ET,scattered clouds,72.21,11.18,40.02,Adi 01 Kebele
